ID;Vorname;Nachname;Angezeigter Name;Verein;Position;Marktwert;Probability;exp_games;Erwartete Spiele;exp_gd;Erwartete Tordifferenz
pl-k00030256;Cristiano Ronaldo;Dos Santos Aveiro;Cristiano Ronaldo;Portugal;FORWARD;8000000;0.8;5.302;4.242;3.99;3.192
pl-k00030669;Manuel;Neuer;Manuel Neuer;Deutschland;GOALKEEPER;8000000;0.2;5.097;1.019;3.97;0.794
pl-k00033709;Lionel;Messi;Lionel Messi;Argentinien;FORWARD;8000000;1.0;5.991;5.991;8.658;8.658
pl-k00033742;Craig;Gordon;Craig Gordon;Schottland;GOALKEEPER;4000000;0.5;4.12;2.06;-0.984;-0.492
pl-k00039245;Oliver;Baumann;Oliver Baumann;Deutschland;GOALKEEPER;4000000;0.4;5.097;2.039;3.97;1.588
pl-k00039689;Luka;Modric;Luka Modric;Kroatien;MIDFIELDER;6000000;1.0;4.93;4.93;2.779;2.779
pl-k00039824;Guillermo;Ochoa;Guillermo Ochoa;Mexiko;GOALKEEPER;1000000;0.5;4.905;2.452;2.864;1.432
pl-k00044089;Axel;Witsel;Axel Witsel;Belgien;MIDFIELDER;4000000;0.5;4.876;2.438;2.814;1.407
pl-k00044560;Edin;Dzeko;Edin Dzeko;Bosnien-Herzegowina;FORWARD;4000000;1.0;3.738;3.738;-2.61;-2.61
pl-k00045914;James;Rodriguez;James;Kolumbien;MIDFIELDER;4000000;1.0;5.21;5.21;3.512;3.512
pl-k00046237;Mert;Günok;Mert Günok;Türkei;GOALKEEPER;1000000;0.0;4.976;0.0;2.252;0.0
pl-k00046495;Fernando;Muslera;Fernando Muslera;Uruguay;GOALKEEPER;4000000;1.0;4.672;4.672;1.55;1.55
pl-k00046508;Tommy;Smith;Tommy Smith;Neuseeland;DEFENDER;1000000;0.0;3.48;0.0;-3.434;-0.0
pl-k00047058;Marko;Arnautovic;Marko Arnautovic;Österreich;FORWARD;4000000;1.0;4.129;4.129;-1.1;-1.1
pl-k00050622;Jordan;Henderson;Jordan Henderson;England;MIDFIELDER;4000000;0.0;5.687;0.0;6.383;0.0
pl-k00054652;Pascal;Groß;Pascal Groß;Deutschland;MIDFIELDER;4000000;0.2;5.097;1.019;3.97;0.794
pl-k00055188;Gael;Kakuta;Gael Kakuta;DR Kongo;MIDFIELDER;1000000;0.0;3.371;0.0;-4.126;-0.0
pl-k00056751;Chris;Wood;Chris Wood;Neuseeland;FORWARD;4000000;0.5;3.48;1.74;-3.434;-1.717
pl-k00056979;Nicolas;Otamendi;Nicolas Otamendi;Argentinien;DEFENDER;4000000;0.6;5.991;3.595;8.658;5.195
pl-k00057241;Rani;Khedira;Rani Khedira;Tunesien;MIDFIELDER;4000000;0.5;3.434;1.717;-3.766;-1.883
pl-k00057343;Granit;Xhaka;Granit Xhaka;Schweiz;MIDFIELDER;6000000;0.5;5.181;2.59;4.737;2.368
pl-k00057598;David;Alaba;David Alaba;Österreich;DEFENDER;6000000;0.0;4.129;0.0;-1.1;-0.0
pl-k00057919;Kristoffer;Nordfeldt;Kristoffer Nordfeldt;Schweden;GOALKEEPER;4000000;1.0;3.796;3.796;-2.337;-2.337
pl-k00059041;Andrej;Kramaric;Andrej Kramaric;Kroatien;FORWARD;6000000;1.0;4.93;4.93;2.779;2.779
pl-k00059307;Ivan;Perisic;Ivan Perisic;Kroatien;FORWARD;6000000;1.0;4.93;4.93;2.779;2.779
pl-k00059384;Romelu;Lukaku;Romelu Lukaku;Belgien;FORWARD;6000000;0.5;4.876;2.438;2.814;1.407
pl-k00059448;Seung-Gyu;Kim;Seung-Gyu Kim;Südkorea;GOALKEEPER;2000000;0.667;4.339;2.894;0.171;0.114
pl-k00059508;Thibaut;Courtois;Thibaut Courtois;Belgien;GOALKEEPER;8000000;0.75;4.876;3.657;2.814;2.11
pl-k00059516;Kevin;De Bruyne;Kevin De Bruyne;Belgien;MIDFIELDER;6000000;1.0;4.876;4.876;2.814;2.814
pl-k00059524;Kaan;Ayhan;Kaan Ayhan;Türkei;MIDFIELDER;2000000;0.0;4.976;0.0;2.252;0.0
pl-k00060044;Ricardo;Rodriguez;Ricardo Rodriguez;Schweiz;DEFENDER;4000000;0.5;5.181;2.59;4.737;2.368
pl-k00062748;Idrissa;Gueye;Idrissa Gueye;Senegal;MIDFIELDER;2000000;0.75;4.598;3.448;0.171;0.128
pl-k00063656;Heung-Min;Son;Heung-Min Son;Südkorea;FORWARD;6000000;1.0;4.339;4.339;0.171;0.171
pl-k00063799;Michael;Gregoritsch;Michael Gregoritsch;Österreich;FORWARD;4000000;0.0;4.129;0.0;-1.1;-0.0
pl-k00063855;Kosta;Barbarouses;Kosta Barbarouses;Neuseeland;FORWARD;1000000;0.0;3.48;0.0;-3.434;-0.0
pl-k00063869;Yuto;Nagatomo;Yuto Nagatomo;Japan;DEFENDER;1000000;0.0;4.848;0.0;1.906;0.0
pl-k00063918;Neymar;da Silva Santos Junior;Neymar;Brasilien;FORWARD;6000000;0.2;5.351;1.07;5.126;1.025
pl-k00064027;Grant;Hanley;Grant Hanley;Schottland;DEFENDER;2000000;0.5;4.12;2.06;-0.984;-0.492
pl-k00064038;Hakan;Calhanoglu;Hakan Calhanoglu;Türkei;MIDFIELDER;6000000;1.0;4.976;4.976;2.252;2.252
pl-k00065748;Ianique;dos Santos Tavares;Stopira;Kap Verde;DEFENDER;2000000;0.0;3.272;0.0;-5.876;-0.0
pl-k00065996;Jordan;Ayew;Jordan Ayew;Ghana;FORWARD;4000000;1.0;3.144;3.144;-6.374;-6.374
pl-k00066526;Antonio;Rüdiger;Antonio Rüdiger;Deutschland;DEFENDER;4000000;0.4;5.097;2.039;3.97;1.588
pl-k00066754;Leon;Goretzka;Leon Goretzka;Deutschland;MIDFIELDER;6000000;0.8;5.097;4.078;3.97;3.176
pl-k00067156;Tim;Ream;Tim Ream;USA;DEFENDER;2000000;0.6;3.74;2.244;-2.316;-1.389
pl-k00067266;Mateo;Kovacic;Mateo Kovacic;Kroatien;MIDFIELDER;4000000;0.5;4.93;2.465;2.779;1.39
pl-k00067749;Lucas;Digne;Lucas Digne;Frankreich;DEFENDER;4000000;0.6;6.141;3.685;7.58;4.548
